county,percent
Adams ,14
Bond ,3
Boone ,17
Brown ,4
Bureau ,11
Carroll ,2
Cass ,4
Champaign ,179
Christian ,10
Clark ,3
Clinton ,6
Coles ,18
Cook ,2369
Crawford ,5
Cumberland ,5
Dekalb ,37
Dewitt ,2
Douglas ,6
Dupage ,794
Edgar ,9
Edwards ,1
Effingham ,11
Fayette ,2
Ford ,6
Franklin ,4
Fulton ,9
Greene ,2
Grundy ,31
Hancock ,3
Hardin ,1
Henry ,16
Iroquois ,13
Jackson ,9
Jasper ,3
Jefferson ,5
Jersey ,1
Jo Daviess ,3
Johnson ,1
Kane ,193
Kankakee ,37
Kendall ,42
Knox ,13
La Salle ,20
Lake ,587
Lawrence ,5
Lee ,5
Livingston ,12
Logan ,12
Macon ,29
Macoupin ,13
Madison ,54
Marion ,4
Marshall ,3
Mason ,5
Massac ,2
Mcdonough ,10
Mchenry ,165
Mclean ,75
Menard ,7
Mercer ,3
Monroe ,13
Montgomery ,7
Morgan ,9
Moultrie ,6
Ogle ,16
Peoria ,60
Perry ,3
Piatt ,15
Pike ,3
Pulaski ,1
Putnam ,3
Randolph ,2
Richland ,4
Rock Island ,24
Saint Clair ,74
Saline ,3
Sangamon ,74
Schuyler ,5
Scott ,1
Shelby ,4
Stark ,2
Stephenson ,9
Tazewell ,66
Union ,2
Vermilion ,18
Wabash ,2
Warren ,1
Washington ,4
Wayne ,4
White ,6
Whiteside ,14
Will ,358
Williamson ,8
Winnebago ,70
Woodford ,15
