country,number,code
Argentina,1,ARG
Australia,3,AUS
Brazil,1,BRA
Canada,9,CAN
China,549,CHN
Colombia,1,COL
Hong Kong,3,HKG
India,109,IND
Indonesia,6,IDN
Japan,2,JPN
Kazakhstan,6,KAZ
"Korea, North",1,PRK
"Korea, South",168,KOR
Kuwait,1,KWT
Malaysia,6,MYS
Mali,1,MLI
Mongolia,1,MNG
Netherlands,1,NLD
New Zealand,1,NZL
Nigeria,3,NGA
Pakistan,3,PAK
Philippines,2,PHL
Russia,1,RUS
Singapore,24,SGP
South Africa,2,ZAF
Taiwan,22,TWN
Thailand,15,THA
Turkey,6,TUR
United Kingdom,1,GBR
Venezuela,2,VEN
Vietnam,1,VNM
Zambia,1,ZMB
United States of America,6189,USA
